ID_Cliente;Idade;Genero;Estado_Civil;Escolaridade;Renda_Anual;Valor_do_Emprestimo;Prazo_do_Emprestimo;Numero_de_Dependentes;Tipo_de_Residencia;Inadimplencia
1;35;F;Casado;Ensino Superior;60000;10000;36;1;Casa Própria;Não
3;45;F;Casado;Pós-Graduação;100;15000;48;2;Casa Alugada;Não
4;40;F;Divorciado;Ensino Superior;0;12000;36;0;Casa Própria;Não
6;20;F;Casado;Ensino Superior;90000;18000;48;3;Casa Própria;Sim
7;42;F;Casado;Ensino Médio;65000;14000;36;2;Casa Própria;Não
10;48;F;Solteiro;Ensino Superior;75000;16000;48;2;Casa Própria;Sim
11;36;M;Casado;Ensino Médio;62000;13000;36;1;Apartamento Próprio;Não
13;44;F;Casado;Ensino Médio;-2000;17000;48;2;Casa Própria;Não
14;39;F;Divorciado;Pós-Graduação;72000;14000;36;1;Casa Própria;Não
16;51;F;Casado;Ensino Médio;85000;20000;48;3;Apartamento Alugado;Não
17;17;F;Casado;Pós-Graduação;;;;2;Casa Própria;Não
18;37;F;;Ensino Médio;63000;15000;36;1;Casa Própria;Sim
20;49;F;Casado;Ensino Superior;78000;16000;48;2;Apartamento Alugado;Não
21;34;F;Solteiro;Ensino Médio;54000;11000;36;1;Apartamento Alugado;Sim
23;29;F;Divorciado;Ensino Superior;73000;15000;36;1;Casa Própria;Não
24;41;F;Casado;Pós-Graduação;67000;16000;36;2;Casa Própria;Não
25;23;F;Casado;Ensino Médio;59000;11000;36;1;Casa Própria;Não
27;52;F;Solteiro;Pós-Graduação;92000;20000;48;3;Casa Própria;Não
28;47;F;Casado;Ensino Médio;76000;17000;36;2;Apartamento Alugado;Não
29;55;F;Casado;Ensino Superior;63000;14000;36;1;Casa Própria;Não
31;50;F;Casado;Pós-Graduação;83000;18000;48;3;Casa Própria;Não
32;45;F;Divorciado;Ensino Superior;100;14000;36;1;Casa Alugada;Não
33;40;M;Casado;Ensino Médio;66000;16000;36;2;Casa Própria;Não
35;53;F;Casado;Ensino Médio;88000;21000;48;3;Apartamento Alugado;Não
36;48;F;Casado;Ensino Superior;79000;17000;36;2;Casa Própria;Não
37;33;F;Casado;Ensino Médio;57000;13000;36;1;Casa Própria;Sim
39;46;F;Casado;Pós-Graduação;74000;16000;36;2;Casa Alugada;Não
40;41;F;Divorciado;Ensino Superior;71000;15000;36;1;Casa Própria;Não
41;36;F;Casado;Ensino Médio;64000;16000;36;2;Casa Própria;Não
43;51;F;Casado;Ensino Superior;82000;18000;48;2;Apartamento Alugado;Não
44;43;M;Casado;Ensino Médio;69000;17000;36;3;Casa Própria;Não
47;15;F;Solteiro;Ensino Superior;80000;17000;36;2;Casa Própria;Não
48;44;M;Solteiro;Pós-Graduação;74000;18000;36;3;Casa Própria;Não
50;34;F;Divorciado;Ensino Médio;56000;11000;36;1;Casa Alugada;Não
52;52;F;Casado;Ensino Superior;85000;20000;48;2;Apartamento Próprio;Não
53;2;F;Casado;Pós-Graduação;78000;18000;36;3;Apartamento Alugado;Não
54;42;F;Casado;Ensino Médio;72000;16000;36;1;Casa Própria;Não
57;53;F;Divorciado;Ensino Médio;85000;18000;48;2;Apartamento Próprio;Não
58;30;M;Solteiro;Pós-Graduação;78000;19000;36;3;Casa Própria;Não
60;38;M;Divorciado;Ensino Médio;74000;16000;36;1;Casa Própria;Não
61;33;F;Solteiro;Ensino Superior;10;12000;36;1;Apartamento Alugado;Não
63;46;F;Casado;Ensino Superior;73000;15000;36;1;Apartamento Alugado;Não
64;41;M;Casado;Pós-Graduação;67000;16000;36;2;Casa Própria;Não
65;46;M;Solteiro;Ensino Médio;;;;1;Apartamento Próprio;Não
67;50;M;Casado;Ensino Médio;83000;19000;48;3;Apartamento Alugado;Não
